age,careAddr,careNm,colorCd,kindCd,neuterYn,noticeEdt,officetel,popfile,processState,specialMark,weight,animalKind,address,sexCd
2017(년생),경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,밀양시동물보호소,연갈색,[개] 믹스견,U,20180823,055-359-7186,http://www.animal.go.kr/files/shelter/2018/07/20180813140896.jpg,보호중,겁이 많음,5(Kg),개,경상도,남자아이
2013(년생),경상남도 진주시 집현면 신당길207번길 22 (집현면/ 지역농업개발시설) ,진주시유기동물보호소,갈색+회색,[개] 코카 스파니엘,N,20180820,055-749-6203,http://www.animal.go.kr/files/shelter/2018/07/201808131708553.jpg,보호중,순함,5.2(Kg),개,경상도,남자아이
2015(년생),경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,연회색,[개] 스탠다드 푸들,N,20180823,055-225-5625,http://www.animal.go.kr/files/shelter/2018/07/201808131308705.jpg,보호중,순함,15(Kg),개,경상도,남자아이
2018(년생),경상북도 울진군 울진읍 연호로 21-4 (울진읍) 울진동물병원,울진동물병원,갈색,[개] 믹스견,N,20180823,054-789-6792,http://www.animal.go.kr/files/shelter/2018/07/201808131608621.jpg,보호중,갈색 유기견,2(Kg),개,경상도,여자아이
2018(년생),경상북도 울진군 울진읍 연호로 21-4 (울진읍) 울진동물병원,울진동물병원,갈색,[개] 믹스견,N,20180823,054-789-6792,http://www.animal.go.kr/files/shelter/2018/07/201808131608246.jpg,보호중,갈색 유기견,2(Kg),개,경상도,여자아이
2018(년생),경상북도 울진군 울진읍 연호로 21-4 (울진읍) 울진동물병원,울진동물병원,백색,[개] 믹스견,N,20180823,054-789-6792,http://www.animal.go.kr/files/shelter/2018/07/201808131508616.jpg,보호중,백색 유기견,3(Kg),개,경상도,여자아이
2012(년생),경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,예천군유기동물보호소,흰색,[개] 스피츠,U,20180823,054-650-6578,http://www.animal.go.kr/files/shelter/2018/07/201808131708145.jpg,보호중, ,8(Kg),개,경상도,남자아이
2015(년생),경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,예천군유기동물보호소,갈색+흰색,[개] 믹스견,U,20180823,054-650-6578,http://www.animal.go.kr/files/shelter/2018/07/20180813170807.jpg,보호중, ,12(Kg),개,경상도,남자아이
2016(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,황토색,[개] 푸들,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/201808131608315.jpg,보호중,꼬리단미,4(Kg),개,경상도,남자아이
2017(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,베이지색,[개] 믹스견,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/201808131308780.jpg,보호중,켄넬에 담아 유기,1(Kg),개,경상도,남자아이
2017(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,검은색/ 흰색,[개] 믹스견,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/20180813130881.jpg,보호중,켄넬에 담아 유기,1(Kg),개,경상도,남자아이
2017(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,흰색,[개] 믹스견,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/201808131308987.jpg,보호중,켄넬에 담아 유기,1(Kg),개,경상도,남자아이
2017(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,흰색,[개] 믹스견,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/201808131308645.jpg,보호중,백색믹스견,3(Kg),개,경상도,남자아이
2017(년생),경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,옅은 황토색,[개] 믹스견,U,20180823,054-979-6497,http://www.animal.go.kr/files/shelter/2018/07/201808131308216.jpg,보호중,피부질환 심함,3(Kg),개,경상도,남자아이
2015(년생),경상북도 군위군 군위읍 군청로 200 군위군청,군위군청,갈색,[개] 믹스견,U,20180823,054-380-6283,http://www.animal.go.kr/files/shelter/2018/07/201808131608164.jpg,보호중,상태양호,3(Kg),개,경상도,여자아이
2015(년생),경상북도 군위군 군위읍 군청로 200 군위군청,군위군청,흰색,[개] 믹스견,N,20180823,054-380-6283,http://www.animal.go.kr/files/shelter/2018/07/201808131608719.jpg,보호중,상태양호,10(Kg),개,경상도,여자아이
2018(년생),경상북도 문경시 중앙로 170 (흥덕동) 종합가축병원,종합가축병원,갈색,[개] 믹스견,N,20180820,054-550-6287,http://www.animal.go.kr/files/shelter/2018/07/201808131708221.jpg,보호중,큰개1마리 강아지1마리 포획,2(Kg),개,경상도,여자아이
2015(년생),경상북도 문경시 중앙로 170 (흥덕동) 종합가축병원,종합가축병원,갈색/흰색,[개] 믹스견,N,20180820,054-550-6287,http://www.animal.go.kr/files/shelter/2018/07/201808131708519.jpg,보호중,큰개2마리,6(Kg),개,경상도,여자아이
2018(년생),경상북도 문경시 중앙로 170 (흥덕동) 종합가축병원,종합가축병원,황갈색,[개] 믹스견,U,20180820,054-550-6287,http://www.animal.go.kr/files/shelter/2018/07/201808131708979.jpg,보호중,많이 야위었음,6(Kg),개,경상도,여자아이
2015(년생),경상북도 영천시 화남면 신선로 310 (화남면) ,영천유기동물보호센터,흰색/ 베이지,[개] 말티즈,N,20180823,054-339-7179,http://www.animal.go.kr/files/shelter/2018/07/20180813100884.jpg,보호중,말티즈 믹스견. 일주일전 유기,5(Kg),개,경상도,남자아이
